epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5042,1.45111,2.6868,1.61146,0.64871,0.5301,0.58699,0.30536,1.67166,1.93939,1.77028,0.000663477,0.000663477,0.000663477
2,37.8783,1.48945,1.85124,1.65372,0.75708,0.57525,0.64519,0.37124,1.60505,1.63182,1.7209,0.00131698,0.00131698,0.00131698
3,55.0984,1.5163,1.60867,1.68372,0.71696,0.58696,0.63045,0.35154,1.66807,1.98406,1.73276,0.00195727,0.00195727,0.00195727
4,70.9711,1.47795,1.48068,1.62401,0.73608,0.66722,0.73358,0.4261,1.51775,1.41374,1.58095,0.0019406,0.0019406,0.0019406
5,86.9606,1.4525,1.4402,1.5906,0.75549,0.63378,0.70097,0.31909,1.96209,1.59346,1.97893,0.0019208,0.0019208,0.0019208
6,102.517,1.41265,1.33759,1.57022,0.78108,0.70067,0.78807,0.46596,1.52806,1.18412,1.62113,0.001901,0.001901,0.001901
7,118.168,1.37926,1.28312,1.54121,0.77982,0.74749,0.80789,0.47589,1.51953,1.13192,1.55404,0.0018812,0.0018812,0.0018812
8,133.858,1.34494,1.2389,1.5249,0.83491,0.71405,0.81341,0.44306,1.69567,1.12884,1.67774,0.0018614,0.0018614,0.0018614
9,149.024,1.32886,1.18711,1.49844,0.81924,0.72742,0.82297,0.46735,1.54633,1.10667,1.54853,0.0018416,0.0018416,0.0018416
10,164.712,1.32993,1.19444,1.48776,0.82915,0.73038,0.82569,0.46728,1.49615,1.10633,1.54305,0.0018218,0.0018218,0.0018218
11,180.07,1.31236,1.16937,1.48278,0.84221,0.75585,0.83933,0.45459,1.64391,1.08622,1.63163,0.001802,0.001802,0.001802
12,195.697,1.26514,1.10646,1.44613,0.86738,0.73244,0.83769,0.48986,1.5407,1.04562,1.56642,0.0017822,0.0017822,0.0017822
13,211.551,1.27782,1.09984,1.45012,0.84401,0.75418,0.84256,0.45353,1.66188,1.15408,1.61886,0.0017624,0.0017624,0.0017624
14,226.638,1.27701,1.0871,1.44478,0.78211,0.77759,0.84508,0.50255,1.47713,1.03269,1.51017,0.0017426,0.0017426,0.0017426
15,242.197,1.25575,1.03433,1.43396,0.8393,0.81773,0.87404,0.49741,1.5525,0.93871,1.57559,0.0017228,0.0017228,0.0017228
16,257.206,1.25942,1.04445,1.44159,0.86359,0.77283,0.8673,0.50231,1.56256,0.92807,1.53608,0.001703,0.001703,0.001703
17,273.059,1.23816,1.00908,1.41799,0.84333,0.77411,0.84938,0.49815,1.52551,0.98467,1.5341,0.0016832,0.0016832,0.0016832
18,288.481,1.23822,1.02944,1.42353,0.81506,0.69275,0.77575,0.43125,1.64918,1.16503,1.64252,0.0016634,0.0016634,0.0016634
19,303.83,1.23401,1.02607,1.4226,0.86122,0.81773,0.87964,0.51435,1.514,0.89832,1.50401,0.0016436,0.0016436,0.0016436
20,319.465,1.21923,1.01932,1.40754,0.89519,0.77258,0.87958,0.52552,1.42756,0.8975,1.45432,0.0016238,0.0016238,0.0016238
21,334.933,1.21826,0.98367,1.40106,0.84368,0.79264,0.87963,0.50185,1.57644,0.91544,1.54179,0.001604,0.001604,0.001604
22,350.312,1.20162,0.9749,1.38655,0.87884,0.80057,0.88044,0.5469,1.35308,0.84193,1.44353,0.0015842,0.0015842,0.0015842
23,365.904,1.20802,0.96762,1.40133,0.80676,0.8308,0.86645,0.49948,1.57328,0.91909,1.54873,0.0015644,0.0015644,0.0015644
