                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6921,                 3.4456,                 1.9344,                0.57305,                0.17754,                0.26248,                0.12187,                 1.8888,                 3.3207,                 2.1755,             0.00065833,             0.00065833,             0.00065833
                      2,                 1.6941,                 2.8298,                 1.8985,                0.18923,                 0.2314,                0.10973,                0.03644,                 2.1945,                 11.122,                  2.866,              0.0012988,              0.0012988,              0.0012988
                      3,                 1.7869,                 2.6667,                 2.0042,                0.32957,                0.35346,                0.21452,                0.10436,                 1.9375,                 4.4318,                 2.3132,              0.0019128,              0.0019128,              0.0019128
                      4,                  1.714,                    2.4,                  1.899,                0.40195,                0.47215,                0.40857,                0.20694,                 1.8214,                 4.5201,                 2.2801,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.7204,                  2.143,                  1.895,                0.56673,                0.42975,                0.43307,                0.21551,                 1.9634,                 2.6044,                 2.2199,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.6777,                 2.0059,                 1.8719,                0.59507,                0.52066,                0.54056,                0.30928,                 1.6875,                 1.7558,                 1.8276,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.6001,                 1.8769,                 1.7957,                0.85258,                0.52579,                0.65328,                0.40111,                 1.5563,                  1.615,                 1.7566,               0.001802,               0.001802,               0.001802
                      8,                 1.5731,                  1.767,                 1.7729,                0.71698,                0.64905,                0.71931,                0.43773,                 1.5111,                 1.5426,                 1.7165,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.5461,                 1.7042,                 1.7463,                0.70144,                0.66116,                0.65479,                0.39123,                 1.5171,                 1.6916,                 1.6971,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.4904,                  1.615,                 1.7054,                0.88703,                0.54545,                0.69507,                0.42608,                 1.5358,                 1.4603,                 1.7257,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.5091,                 1.6166,                  1.697,                0.78722,                0.66942,                0.74643,                 0.4748,                 1.5036,                 1.3538,                  1.656,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.4661,                 1.5473,                 1.6791,                0.80502,                0.64834,                0.76063,                0.47342,                 1.4815,                 1.3282,                 1.6365,               0.001604,               0.001604,               0.001604
                     13,                 1.4418,                 1.5615,                 1.6629,                0.67698,                0.54545,                0.52022,                0.29148,                 1.6363,                 1.8532,                 1.8646,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.3833,                  1.457,                 1.6353,                0.88315,                0.67769,                0.79246,                0.51071,                 1.3534,                 1.2085,                 1.5427,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.3228,                 1.4058,                  1.561,                0.82592,                0.71074,                0.79243,                0.47574,                 1.5597,                 1.2898,                 1.6369,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.3698,                  1.384,                 1.5931,                0.80943,                0.70204,                0.79138,                0.51296,                 1.3847,                  1.174,                 1.5672,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.3552,                 1.3866,                  1.587,                 0.7699,                0.69131,                0.75462,                0.46977,                 1.5345,                 1.3193,                 1.6876,               0.001406,               0.001406,               0.001406
